title,artist,bpm,energy,danceability,acousticness,instrumentalness,mood,vocals,instrumentation,genre
Onze Dag - Hosclt Remix,Zanger Kafke,150,0.918,0.595,0.0348,1.2e-06,energetic,pop vocals,guitar,hardstyle
"Études, Op. 10: No. 12, Étude in C Minor ""Revolutionary""",Frédéric Chopin;Peter Schmalfuss,98,0.14,0.328,0.977,0.895,dark,instrumental,piano,classical
Runaway,Pal Joey,119,0.924,0.81,5.62e-05,0.876,energetic,instrumental,electronic,chicago-house
Cheek To Cheek,Ella Fitzgerald;Louis Armstrong,123,0.443,0.665,0.582,0.0,bright,pop vocals,acoustic,jazz
Edgerunner,MAGNAVOLT,95,0.988,0.613,5.13e-05,0.835,intense,instrumental,guitar,club
Encontro Marcado,André Renato,157,0.777,0.475,0.404,0.0,energetic,pop vocals,guitar,pagode
Lady - Hear Me Tonight,Modjo,126,0.808,0.72,0.00793,0.0293,energetic,pop vocals,electronic,disco
Malevaje,Carlos Gardel,85,0.391,0.631,0.975,0.0,balanced,soft vocals,acoustic,tango
Despair In The Departure Lounge,Arctic Monkeys,85,0.306,0.316,0.676,0.0025,dark,soft vocals,acoustic,garage
Secreto,Anuel AA;KAROL G,92,0.803,0.807,0.6,0.0085,energetic,pop vocals,acoustic,latino
Urjotun,Enslaved,177,0.908,0.316,8.26e-05,0.241,balanced,pop vocals,guitar,black-metal
"Happy Holidays, You Bastard",blink-182,173,0.99,0.409,0.02,0.0,energetic,pop vocals,guitar,punk
Little Saint Nick - 1991 Remix,The Beach Boys,131,0.553,0.602,0.108,0.0,bright,pop vocals,bass,psych-rock
Go Lay Lay Go,That Girl Lay Lay,116,0.606,0.977,0.169,9.94e-05,bright,pop vocals,electronic,kids
Fortunate Son,Creedence Clearwater Revival,133,0.663,0.64,0.201,0.00806,energetic,pop vocals,bass,rock
Adam,Ishome,140,0.508,0.731,0.0306,0.875,dark,instrumental,bass,idm
Hoje Eu Sei,Vanessa Da Mata,80,0.416,0.601,0.17,4.73e-05,dark,pop vocals,bass,mpb
Feeling Good,Michael Bublé,115,0.548,0.535,0.533,1.48e-06,balanced,pop vocals,bass,j-pop
Next to you - from Parasyte,Ken Arai;NSZX,95,0.319,0.43,0.783,0.917,dark,instrumental,piano,anime
Ao No Waltz,Eve,124,0.52,0.417,0.19,0.0,dark,pop vocals,bass,anime
Den fulaste flickan i världen,Håkan Hellström,109,0.812,0.292,0.266,5.56e-06,balanced,pop vocals,guitar,goth
Show Me The Wine,Vybz Kartel,133,0.896,0.703,0.0607,0.0,energetic,rap vocals,electronic,dancehall
Sleigh Ride,Ella Fitzgerald,77,0.287,0.593,0.764,0.0,calm,soft vocals,acoustic,jazz
Rescue Me,OneRepublic,121,0.606,0.761,0.157,0.0,balanced,pop vocals,electronic,piano
Mazaak,Anuv Jain,146,0.461,0.534,0.795,1.51e-06,dark,pop vocals,acoustic,songwriter
Kalamaut,Hellcrust,115,0.981,0.275,0.655,0.777,intense,instrumental,acoustic,death-metal
Des fissures apparaissent,Germaine Franco,77,0.483,0.198,0.831,0.927,dark,instrumental,piano,disney
Christmas Time,Bryan Adams,77,0.582,0.503,0.472,0.0,dark,pop vocals,bass,singer-songwriter
Oh Oh - Futurebound Remix,Noisia;Futurebound,172,0.957,0.528,0.121,0.91,intense,instrumental,guitar,breakbeat
A Última Palavra É Dele,Jéssica Augusto,108,0.686,0.418,0.699,0.0,balanced,pop vocals,acoustic,groove
Beat the Odds,Lil Tjay,85,0.625,0.498,0.054,0.0,balanced,rap vocals,bass,r-n-b
Put Your Back In It (Afrobeat),DJ Flex;Denise Belfon,140,0.889,0.929,0.221,0.281,energetic,pop vocals,electronic,club
Believe Me,Navos,125,0.876,0.629,0.129,1.39e-06,balanced,pop vocals,guitar,groove
Get Get Down - Slowed + Reverb,dj Shawny;IShowSpeed,120,0.624,0.931,0.121,0.00268,dark,pop vocals,electronic,club
Gli amici nell’aldilà,Luca Ward,115,0.54,0.514,0.783,0.0,balanced,pop vocals,acoustic,disney
#おふしょるにっと,≠ME,84,0.842,0.516,0.459,0.0,energetic,pop vocals,guitar,j-idol
Bad Boy,Parham,108,0.759,0.599,0.243,0.0,balanced,pop vocals,guitar,goth
Qué Más Pues?,J Balvin;Maria Becerra,102,0.817,0.904,0.0254,0.000141,energetic,pop vocals,electronic,latino
Eastside (with Halsey & Khalid),benny blanco;Halsey;Khalid,89,0.68,0.56,0.555,0.0,intense,pop vocals,acoustic,electro
Pisces Moon,Flower Face,138,0.411,0.525,0.671,0.000338,dark,pop vocals,acoustic,ambient
"Merry Christmas, Baby - 1991 Remix",The Beach Boys,127,0.494,0.695,0.31,0.0,bright,pop vocals,bass,psych-rock
Gulabi Aankhen,Sanam,106,0.647,0.636,0.422,0.0,balanced,pop vocals,bass,pop
You Deserve It All,John Legend,83,0.739,0.524,0.215,0.0,balanced,pop vocals,bass,soul
Endrendrum Punnagai LoFi Mix,Praveen;Shankar;Srinivas;Clinton Cerejo;DJ Aftab,90,0.56,0.565,0.595,0.0025,balanced,pop vocals,acoustic,ambient
HoBo,Charlie Parr,105,0.357,0.576,0.741,0.013,balanced,soft vocals,acoustic,bluegrass
Reduced to Redemption,Goretrade,160,0.955,0.227,0.00465,0.502,intense,pop vocals,guitar,death-metal
"Bewitched, Bothered, And Bewildered - Stereo Version",Ella Fitzgerald,72,0.108,0.422,0.971,0.0,dark,soft vocals,acoustic,blues
Shaayraana,Pritam;Arijit Singh,94,0.665,0.604,0.607,1.33e-05,energetic,pop vocals,acoustic,indian
Bakı - 1960,Rashid Beibutov,175,0.208,0.493,0.988,0.0,calm,soft vocals,acoustic,romance
Everybody Loves The Sunshine,Netsky;Daddy Waku;Chantal Kashala,172,0.864,0.53,0.000831,0.0112,intense,pop vocals,guitar,drum-and-bass
See You Again (feat. Charlie Puth),Wiz Khalifa;Charlie Puth,80,0.481,0.689,0.369,1.03e-06,dark,pop vocals,bass,hip-hop
Blind Faith,Chase & Status;Liam Bailey,140,0.846,0.45,0.00523,0.0,balanced,pop vocals,guitar,drum-and-bass
Nightlight,ILLENIUM;Annika Wells,150,0.651,0.494,0.0819,0.0,intense,pop vocals,bass,dubstep
Vrai Savage,Mig,137,0.817,0.466,0.105,0.0,balanced,pop vocals,guitar,french
Counting Stars,OneRepublic,122,0.741,0.659,0.072,0.0,balanced,pop vocals,bass,piano
Mindphaser,Front Line Assembly,125,0.885,0.632,2.89e-05,0.87,intense,instrumental,guitar,industrial
Para Tudo - Ao Vivo,Jeito Moleque,145,0.73,0.31,0.416,3.9e-06,balanced,pop vocals,bass,sertanejo
Rudolph The Red-Nosed Reindeer,Ella Fitzgerald,120,0.315,0.596,0.961,0.0,calm,soft vocals,acoustic,blues
彌敦道的一晚good trip,my little airport,148,0.545,0.602,0.0814,0.0344,dark,pop vocals,bass,cantopop
Din tid kommer,Håkan Hellström,128,0.852,0.495,0.000121,0.000483,balanced,pop vocals,guitar,goth
Chico Granada,Carajo,160,0.957,0.458,0.00445,0.000115,balanced,pop vocals,guitar,heavy-metal
Live Some Life (feat. DING DONG),AMARIA BB;DING DONG,104,0.541,0.859,0.157,0.0,balanced,rap vocals,bass,j-dance
Teus Olhos Revelam - Ao Vivo,Jozyanne,94,0.566,0.494,0.798,0.0,dark,pop vocals,acoustic,gospel
"Bibbidi-Bobbidi-Boo - From ""Cinderella""",Verna Felton,106,0.525,0.513,0.949,2.42e-05,bright,pop vocals,acoustic,disney
Silly,Deniece Williams,115,0.241,0.473,0.89,0.00386,calm,soft vocals,acoustic,disco
Changes,Larry Heard;Loosefingers,118,0.44,0.647,0.0175,0.0364,balanced,pop vocals,bass,chicago-house
Wanted Dead Or Alive,Bon Jovi,150,0.818,0.265,0.0774,0.024,intense,pop vocals,guitar,metal
Sigo Extrañándote,J Balvin,93,0.859,0.896,0.154,0.000109,energetic,pop vocals,electronic,latin
Honey Trap,Hozho,127,0.762,0.711,0.00795,0.904,balanced,instrumental,electronic,techno
Prethese Antha,Bombay Jayashri,84,0.62,0.547,0.408,0.0002,dark,pop vocals,bass,classical
Se Acabo (feat. Method Man) - Remix,The Beatnuts;Method Man,97,0.519,0.935,0.156,0.0,bright,pop vocals,bass,hardcore
Fourth of July,Sufjan Stevens,120,0.104,0.435,0.973,0.33,dark,soft vocals,acoustic,songwriter
Psycho,GHASTLY;MOONBOY,145,0.985,0.41,0.0161,0.000238,intense,rap vocals,guitar,dub
Yo Soy (Babalu),"Bobby Cruz;Ricardo ""Richie"" Ray",75,0.71,0.725,0.699,2.19e-06,energetic,pop vocals,acoustic,salsa
Met De Vlam In De Pijp,De Doelleazen;Henk Wijngaard,185,0.968,0.527,0.0067,0.00222,energetic,pop vocals,guitar,hardstyle
Blah Blah Blah,Armin van Buuren,138,0.963,0.612,0.00897,0.00378,intense,pop vocals,guitar,trance
Perfect Strangers,Deep Purple,98,0.72,0.521,0.00352,0.0114,balanced,pop vocals,bass,psych-rock
Hüpfen bis die Insel wackelt,Lorenz Büffel,136,0.88,0.686,0.0765,0.0,intense,pop vocals,guitar,party
Normal,Feid,170,0.56,0.709,0.034,0.0,balanced,pop vocals,electronic,latino
Something Just Like This,The Chainsmokers;Coldplay,103,0.635,0.617,0.0498,1.44e-05,balanced,pop vocals,bass,dance
Ferrari - Remix,James Hype;Miggy Dela Rosa;Lazza,125,0.714,0.818,0.0973,0.0,balanced,pop vocals,electronic,groove
Dangerous - David Guetta Banging Remix,David Guetta;Sam Martin,128,0.931,0.698,0.0237,0.852,intense,instrumental,guitar,dance
Wish I Was Better,Kina;yaeow,140,0.304,0.732,0.747,6.13e-05,dark,soft vocals,acoustic,sad
Magenta Riddim,DJ Snake,102,0.892,0.602,0.000393,0.813,balanced,instrumental,guitar,electronic
Balada para un Loco,Roberto Goyeneche;Astor Piazzolla,72,0.301,0.423,0.928,4.89e-06,calm,soft vocals,acoustic,tango
Little Things,ABBA,76,0.165,0.647,0.894,0.00187,calm,soft vocals,acoustic,swedish
Maneiras - Ao Vivo No Rio De Janeiro / 2003,Zeca Pagodinho,153,0.779,0.529,0.371,0.0,balanced,pop vocals,guitar,samba
Spaced Out,Derrick May,135,0.932,0.778,0.000658,0.873,balanced,instrumental,electronic,detroit-techno
Bubble Metropolis,Drexciya,129,0.639,0.718,0.000688,0.486,dark,pop vocals,electronic,detroit-techno
Ora Pro Nobis Lucifer,Behemoth,176,0.986,0.105,1.51e-05,4.6e-05,intense,pop vocals,guitar,black-metal
Get Low,Zedd;Liam Payne,108,0.924,0.723,0.0332,5.63e-06,balanced,pop vocals,electronic,german
Epicentre,VNV Nation,125,0.727,0.711,0.0533,1.19e-06,balanced,pop vocals,electronic,industrial
Humara Ho Gaya,Osho Jain;Sanchi,148,0.249,0.657,0.929,0.0,dark,soft vocals,acoustic,singer-songwriter
Danza De Los Cristales,Narcosis,150,0.847,0.352,0.162,0.00451,balanced,pop vocals,guitar,grindcore
Maybe Christmas - Orchestra Version,Yiruma,71,0.154,0.105,0.946,0.895,dark,instrumental,piano,new-age
When We Feel Young,When Chai Met Toast,88,0.7,0.573,0.267,0.0187,intense,pop vocals,bass,folk
Analoog,Dither;D-Fence,180,0.995,0.561,0.102,0.0,intense,rap vocals,guitar,idm
Que Vença o Amor,Gerson Rufino,112,0.75,0.768,0.121,0.0,balanced,pop vocals,electronic,gospel
Die Nachtigall,Ivan Rebroff,90,0.402,0.227,0.75,0.251,dark,pop vocals,acoustic,romance
Don't Be Shy,Tiësto;KAROL G,120,0.787,0.77,0.198,0.0,balanced,pop vocals,electronic,trance
Viva (Melô Dos Vileiros) - Live,Criolo;Emicida,82,0.868,0.653,0.649,0.0,energetic,rap vocals,acoustic,afrobeat
Merry Christmas,Bryan Adams,110,0.511,0.683,0.406,0.000197,balanced,pop vocals,bass,singer-songwriter
Do Pal,Madan Mohan;Lata Mangeshkar;Sonu Nigam;Javed Akhtar,169,0.556,0.247,0.635,0.000436,balanced,pop vocals,acoustic,indian
Alive,Krewella,128,0.828,0.671,0.00304,0.00287,balanced,pop vocals,guitar,dub
LA CANCIÓN,J Balvin;Bad Bunny,176,0.646,0.756,0.152,1.81e-05,balanced,pop vocals,electronic,reggaeton
Deva Deva (Tamil),Pritam;Sid Sriram;Arijit Singh;Jonita Gandhi,112,0.728,0.56,0.653,0.00662,balanced,pop vocals,acoustic,indian
die first,Nessa Barrett,183,0.669,0.444,0.0669,0.0,balanced,pop vocals,bass,electro
Replay (with Dylan Matthew),SLANDER;Dylan Matthew,170,0.634,0.209,0.000904,0.0,dark,pop vocals,bass,dubstep
The Business,Tiësto,120,0.62,0.798,0.414,0.0192,dark,pop vocals,electronic,house
Hangover Heartache,Highlnd,140,0.714,0.584,0.391,0.0,energetic,pop vocals,bass,dubstep
bury a friend,Billie Eilish,120,0.388,0.887,0.739,0.143,dark,rap vocals,acoustic,electro
Solo,Clean Bandit;Demi Lovato,105,0.622,0.74,0.0357,4.61e-05,balanced,pop vocals,electronic,funk
I Ain't Worried,OneRepublic,140,0.797,0.704,0.0826,0.000745,energetic,pop vocals,electronic,piano
RUMBATÓN,Daddy Yankee,95,0.909,0.685,0.0471,0.0,energetic,pop vocals,guitar,latino
I'll Bite Your Soul,SHRK;Shiloh Dynasty,102,0.37,0.786,0.768,0.373,dark,soft vocals,acoustic,chill
Los Amores con la Crisis,Tita Merello,167,0.329,0.598,0.858,0.0,bright,rap vocals,acoustic,tango
Senhor e Rei,Trazendo a Arca,138,0.429,0.373,0.152,0.0,dark,pop vocals,bass,groove
É Dor Que Não Passa - Ao Vivo,Ferrugem,176,0.769,0.6,0.412,0.0,energetic,pop vocals,guitar,pagode
savior,Beowülf,106,0.181,0.832,0.835,0.0304,dark,soft vocals,acoustic,chill
Reunion (Free Fire 4th Anniversary Theme Song),Dimitri Vegas & Like Mike;KSHMR;Alok;Zafrir,128,0.91,0.537,0.000782,1.03e-05,intense,pop vocals,guitar,progressive-house
Pode Dormir Tranquilo,Kellen Byanca,126,0.524,0.716,0.457,0.0,dark,pop vocals,bass,brazil
Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,120,0.738,0.721,0.00226,4.41e-06,balanced,pop vocals,electronic,edm
Moonlight In Vermont,Ella Fitzgerald;Louis Armstrong,101,0.0916,0.427,0.977,0.000235,dark,soft vocals,acoustic,blues
Choo Lo,The Local Train,146,0.695,0.512,0.0265,0.00815,balanced,pop vocals,bass,indie-pop
Teletema,Kid Abelha,123,0.457,0.807,0.66,0.0391,balanced,pop vocals,acoustic,mpb
La Flor Azul,Divididos,90,0.677,0.463,0.593,9.24e-06,energetic,pop vocals,acoustic,ska
GATÚBELA,KAROL G;Maldy,93,0.858,0.627,0.263,0.0,intense,rap vocals,guitar,reggaeton
X ÚLTIMA VEZ,Daddy Yankee;Bad Bunny,90,0.855,0.812,0.0789,0.000167,balanced,pop vocals,electronic,hip-hop
Alignments,Alphaxone;protoU,71,0.128,0.0622,0.893,0.821,dark,instrumental,piano,iranian
Triángulo (feat. Thalia),Los Baby's;Thalia,142,0.84,0.486,0.465,0.0,balanced,pop vocals,guitar,rock-n-roll
Cry Little Sister vs. Hello Zepp,Celldweller,140,0.74,0.544,0.000286,0.214,intense,pop vocals,bass,industrial
Gasoline,I Prevail,135,0.945,0.546,0.000311,0.0,balanced,pop vocals,guitar,metalcore
The Boys Are Back In Town,Thin Lizzy,81,0.87,0.457,0.292,1.67e-06,energetic,pop vocals,guitar,hard-rock
Love Me Again,Havoc Brothers,164,0.655,0.58,0.576,0.0,balanced,pop vocals,acoustic,malay
All That Really Matters,ILLENIUM;Teddy Swims,170,0.666,0.352,0.117,1.81e-06,intense,pop vocals,bass,dubstep
Vacuum Cleaner and Soothing Brown Noise,Sleep Baby Sleep;Vacuum Cleaner White Noise;White Noise Research;Baby Naptime;Outside Broadcast Recordings,118,0.802,0.167,1.62e-06,0.929,intense,instrumental,guitar,sleep
Sé Vos - En Vivo,Almafuerte,74,0.774,0.203,0.00279,0.000333,balanced,pop vocals,guitar,heavy-metal
Dirt On My Boots,Jon Pardi,90,0.796,0.683,0.112,0.0,balanced,pop vocals,guitar,country
Do It Better,Felix Jaehn;Zoe Wees,122,0.804,0.677,0.0818,1.92e-05,balanced,pop vocals,guitar,german
"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",Il Volo,130,0.587,0.427,0.642,0.0,balanced,pop vocals,acoustic,opera
Schifoan,Lorenz Büffel,131,0.997,0.722,0.042,0.0,energetic,pop vocals,electronic,disco
De Taali,Pritam;Yo Yo Honey Singh;Armaan Malik;Shashwat Singh;Amitabh Bhattacharya,120,0.899,0.818,0.157,0.0,energetic,pop vocals,electronic,indian
Pagu,Rita Lee;Zélia Duncan,130,0.749,0.691,0.176,0.0,balanced,pop vocals,bass,r-n-b
Habits (Stay High),Tove Lo,110,0.65,0.733,0.0703,6.59e-05,intense,pop vocals,electronic,swedish
MAJHE AALE,AP Dhillon;Shinda Kahlon;Gurinder Gill;Gminxr,93,0.496,0.871,0.035,2.83e-05,dark,pop vocals,bass,hip-hop
Fácil - Acústico,Jota Quest,96,0.537,0.556,0.377,0.0,dark,pop vocals,bass,r-n-b
Elevador - Ao Vivo,Lauana Prado,105,0.764,0.764,0.345,0.0,energetic,pop vocals,electronic,sertanejo
Orb,Ichika Nito,170,0.125,0.42,0.963,0.874,dark,instrumental,piano,guitar
"Chaandaniya (From ""2 States"")",Mohan Kannan;Yashita Sharma,114,0.546,0.567,0.301,1.69e-06,balanced,pop vocals,bass,indie
Tongue,Maribou State;Holly Walker,115,0.521,0.569,0.514,0.00469,dark,pop vocals,bass,garage
FRIENDS,Marshmello;Anne-Marie,95,0.88,0.626,0.205,0.0,balanced,pop vocals,guitar,house
A State Of Trance (ASOT 1090) - Coming Up,Armin van Buuren,126,0.626,0.586,0.0115,0.0,bright,pop vocals,bass,trance
Fortaleza / Porradão / Fotos Antigas / Modo Avião / Quem - Ao Vivo,Vou Zuar;Grupo Menos É Mais,94,0.557,0.404,0.608,4.9e-06,bright,pop vocals,acoustic,samba
Meri Baaton Mein Tu,Anuv Jain,143,0.455,0.623,0.426,0.0,dark,pop vocals,bass,indie
Away In The Manger,Jim Brickman,126,0.119,0.308,0.973,0.941,dark,instrumental,piano,piano
Ratchasa Maamaney,Shreya Ghoshal;Palakad Sreeram;Mahesh Vinayakram,100,0.786,0.546,0.349,1.35e-06,balanced,pop vocals,guitar,pop
11 RAZONES,Aitana,166,0.874,0.55,0.00599,0.0,intense,pop vocals,guitar,spanish
Marca da Promessa - Ao Vivo,Trazendo a Arca,78,0.786,0.327,0.00566,0.0,intense,pop vocals,guitar,groove
Father in Heaven,Paul Cardall,76,0.209,0.2,0.901,0.893,dark,instrumental,piano,new-age
La Fuerza,La Bien Querida;Los Planetas,99,0.854,0.582,0.133,0.174,balanced,pop vocals,guitar,spanish
"Ой, цветет калина","Группа ""Загадка""",127,0.248,0.507,0.867,0.0,calm,soft vocals,acoustic,romance
I'm Not The Only One,Sam Smith,82,0.487,0.684,0.495,4.57e-06,balanced,pop vocals,bass,dance
Outer Level,Aaron Smith;Alicia Campbell,126,0.519,0.779,0.232,0.00539,bright,pop vocals,bass,chicago-house
Estamos de Pé - Ao Vivo,Marcus Salles,104,0.766,0.511,0.109,2.54e-05,intense,pop vocals,guitar,gospel
Tum 2.0,Anurag Vashisht;Riya Tickoo,171,0.388,0.456,0.692,0.0,dark,soft vocals,acoustic,singer-songwriter
Old MacDonald,CoComelon,200,0.479,0.704,0.292,1.14e-06,bright,pop vocals,bass,children
lovely (with Khalid),Billie Eilish;Khalid,115,0.296,0.351,0.934,0.0,dark,soft vocals,acoustic,pop
HOWEVER,GLAY,172,0.791,0.287,0.163,0.0,balanced,pop vocals,guitar,j-rock
Heera,Peter Cat Recording Co.,116,0.606,0.66,0.557,0.00547,bright,pop vocals,acoustic,electronic
"Night on Bald Mountain (From ""Natural Born Killers"")",London Symphony Orchestra;Sir Malcolm Sargent,97,0.17,0.251,0.912,0.843,dark,instrumental,piano,british
Destiny,Lonely Night,122,0.573,0.596,0.537,2e-05,dark,pop vocals,bass,french
Lobby,Anitta;Missy Elliott,112,0.711,0.759,0.0477,1.19e-06,balanced,pop vocals,electronic,pagode
A Thousand Miles,Vanessa Carlton,95,0.825,0.56,0.323,0.0,intense,pop vocals,guitar,piano
Morado,J Balvin,97,0.696,0.881,0.136,4.06e-05,energetic,pop vocals,electronic,reggae
The World Is Yours To Take - Budweiser Anthem Of The FIFA World Cup 2022,Tears For Fears;Lil Baby,113,0.68,0.744,0.238,0.0,balanced,pop vocals,electronic,synth-pop
Qué Más Pues?,J Balvin;Maria Becerra,102,0.817,0.904,0.0254,0.000141,energetic,pop vocals,electronic,reggae
Nauliza,BaianaSystem;Makavelli;Jaymitta,170,0.945,0.618,0.0372,0.00323,energetic,pop vocals,guitar,afrobeat
Little Saint Nick - 1991 Remix,The Beach Boys,131,0.553,0.602,0.108,0.0,bright,pop vocals,bass,psych-rock
Primavera (Vai Chuva),Criolo,148,0.859,0.573,0.108,3.04e-05,balanced,pop vocals,guitar,afrobeat
Through It All,DJ Zinc;Maverick Sabre,87,0.865,0.474,0.000659,1.78e-06,intense,pop vocals,guitar,drum-and-bass
Playing With Fire - Original Mix,Dither;Deadly Guns,95,0.98,0.685,0.0267,0.00025,intense,pop vocals,guitar,idm
Red Swan,Yoshiki;HYDE,132,0.782,0.275,0.0521,2.25e-06,intense,pop vocals,guitar,j-pop
Muy Tranquilo,Gramatik,90,0.621,0.641,0.24,0.0299,bright,pop vocals,bass,trip-hop
You Never Can Tell - 1964 Single Version,Chuck Berry,158,0.848,0.572,0.739,4.67e-06,energetic,pop vocals,acoustic,r-n-b
Chiquita Charlie,Dan Cummins,85,0.698,0.545,0.719,0.0,balanced,rap vocals,acoustic,comedy
Dynamite,Sean Paul;Sia,101,0.86,0.624,0.0704,0.0,energetic,pop vocals,guitar,dancehall
Run Rudolph Run,Chuck Berry,152,0.876,0.647,0.881,3.59e-05,energetic,pop vocals,acoustic,rockabilly
Pula,Tihuana,137,0.937,0.78,0.0319,0.0,energetic,pop vocals,electronic,r-n-b
Last Last,Burna Boy,88,0.565,0.795,0.131,0.0,balanced,pop vocals,electronic,dancehall
Eu Também (100 Bilhões X) [So Will I (100 Billion X)],Kemuel,128,0.404,0.432,0.0328,7.18e-05,dark,pop vocals,bass,groove
Wir machen mit bei der Rettung der Erde,Almklausi,140,0.958,0.711,0.0799,0.0,energetic,pop vocals,electronic,party
Euphor,Novo Amor;Ed Tullett;Lowswimmer,115,0.284,0.296,0.968,0.189,dark,soft vocals,acoustic,ambient
Ni Jana,Jasleen Royal;TM Bax;Radhika Madan,105,0.483,0.758,0.563,2.28e-06,balanced,pop vocals,acoustic,singer-songwriter
Again,Shiloh Dynasty;Timmies,75,0.204,0.603,0.479,0.0714,bright,soft vocals,bass,chill
今今ここに君とあたし,Creep Hyp,116,0.903,0.397,0.00947,0.0,balanced,pop vocals,guitar,j-rock
Happy Does,Kenny Chesney,109,0.665,0.716,0.304,0.0,balanced,pop vocals,electronic,country
Chegamos Ao Fim - Ao Vivo,Arlindo Cruz,151,0.703,0.507,0.722,0.0,energetic,pop vocals,acoustic,pagode
"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold,128,0.788,0.772,0.0027,0.000502,balanced,pop vocals,electronic,power-pop
Sugar,Surf Curse,121,0.696,0.606,0.122,0.000188,energetic,pop vocals,bass,punk
Sleigh Ride,Ella Fitzgerald,77,0.287,0.593,0.764,0.0,calm,soft vocals,acoustic,blues
Infinite Ammo,Le Castle Vania,127,0.96,0.597,9.38e-05,0.89,intense,instrumental,guitar,club
Never Let Me Down,Gorgon City;Hayley May,124,0.824,0.706,0.0547,0.00162,balanced,pop vocals,electronic,groove
NOT JUST BREATHING,The Plot In You,130,0.826,0.462,0.00115,0.000775,intense,pop vocals,guitar,metalcore
La Que Se Fue,Antonio Bribiesca,109,0.134,0.71,0.917,0.887,calm,instrumental,piano,guitar
Alienate,Fluoride,159,0.978,0.0979,1.19e-06,0.809,intense,instrumental,guitar,grindcore
I'll Just Call You Darling,Ernest Tubb;Loretta Lynn,117,0.396,0.638,0.856,3.6e-06,balanced,soft vocals,acoustic,honky-tonk
Limbo,Daddy Yankee,125,0.878,0.805,0.0754,0.00329,energetic,pop vocals,electronic,latino
Disconnect - (Joris Voorn Edit) [Mixed],Plastikman;Joris Voorn,127,0.399,0.785,0.328,0.888,dark,instrumental,bass,detroit-techno
A Place for My Head,Linkin Park,133,0.908,0.603,0.0144,0.0,balanced,pop vocals,guitar,grunge
Unfinished Dream Of Sadako,Crows in the Rain,127,0.388,0.245,0.00246,0.785,dark,instrumental,bass,iranian
Fabricando Fantasías - Salsa Version,Tito Nieves,91,0.857,0.726,0.243,0.0,energetic,pop vocals,electronic,salsa
愛你,Cyndi Wang,200,0.926,0.607,0.376,0.0,energetic,pop vocals,guitar,mandopop
Desnúdate Mujer,Frankie Ruiz,99,0.849,0.661,0.355,1.22e-05,energetic,pop vocals,guitar,salsa
Dancing in the Moonlight,Toploader,119,0.845,0.639,0.0528,0.0,energetic,pop vocals,guitar,british
深秋的祝褔,Wu Bai,81,0.448,0.556,0.884,0.276,dark,pop vocals,acoustic,mandopop
O Amor Não Tem Culpa / Eu Nunca Amei Assim - Ao Vivo,Akatu,152,0.594,0.625,0.715,0.0,bright,pop vocals,acoustic,samba
Tum Tak,A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,115,0.621,0.72,0.676,0.0,balanced,pop vocals,acoustic,pop-film
Why Don't You Get A Job,The Offspring,108,0.882,0.766,0.0675,2.59e-06,balanced,pop vocals,electronic,punk-rock
Halloween,Misfits,109,0.937,0.382,0.0172,0.0,intense,pop vocals,guitar,punk-rock
Control,Lucille Croft,100,0.842,0.702,0.0121,0.108,balanced,pop vocals,electronic,club
Put Your Head On My Shoulder (Remastered),Paul Anka,110,0.55,0.587,0.712,0.0,balanced,pop vocals,acoustic,rock-n-roll
I Wanna Be Sedated,Ramones,163,0.96,0.598,0.169,2.89e-05,energetic,pop vocals,guitar,punk-rock
Transformação,Anderson Freire,140,0.565,0.423,0.244,2.79e-06,dark,pop vocals,bass,gospel
His Cock's Got Ribs,Kevin Bloody Wilson,200,0.587,0.542,0.513,0.0,bright,pop vocals,bass,comedy
Een en Al Blijheid,Promo,195,0.906,0.404,0.166,0.0,balanced,rap vocals,guitar,industrial
Halloween,Misfits,109,0.937,0.382,0.0172,0.0,intense,pop vocals,guitar,hardcore
Demoliendo Hoteles,Charly García,79,0.702,0.616,0.00321,0.0,balanced,pop vocals,bass,punk
Windowsills,Oscar Hollis,88,0.161,0.737,0.909,0.941,dark,instrumental,piano,study
Aleksandra,Tatiana and Sergey Nikitin,116,0.25,0.637,0.871,0.0,calm,soft vocals,acoustic,romance
Secreto - En Vivo,Julio Sosa,119,0.576,0.374,0.898,0.0417,balanced,pop vocals,acoustic,tango
The Phantom Of The Opera Symphonic Suite - Pt.1,Andrew Lloyd Webber;The Andrew Lloyd Webber Orchestra;Simon Lee,176,0.132,0.0776,0.674,0.848,dark,instrumental,acoustic,show-tunes
Bumblebee,Boris Brejcha,125,0.822,0.799,0.000256,0.93,intense,instrumental,electronic,minimal-techno
Un Common,Orlando Voorn,128,0.608,0.769,0.0114,0.902,balanced,instrumental,electronic,detroit-techno
Mchenzi,Alonzo,143,0.677,0.785,0.254,0.0,balanced,pop vocals,electronic,french
"Ay, DiOs Mío!",KAROL G,180,0.706,0.715,0.496,0.00134,balanced,pop vocals,electronic,reggaeton
Home,Solomun,120,0.707,0.679,0.00634,0.855,intense,instrumental,bass,techno
